ts,cs,lat,long,o,v,a,hr,pl,mp,sl,x,y
2024-10-23 15:51:57,52.0,37.35015188,-121.93564312999999,26.96,0.081,-0.039,0.0,1.9280000000000002,0.356,0.05600000000000001,9554475.614,1746661.8429999999
2024-10-23 15:51:58,52.0,37.35014571,-121.93565099,26.96,0.005,-0.076,0.0,1.943,0.024,0.048,9554476.675,1746662.5469999998
2024-10-23 15:51:59,52.0,37.35014101,-121.93565401000001,26.96,0.0,-0.002,0.0,1.952,0.0,0.04,9554477.248,1746663.08
2024-10-23 15:52:00,52.0,37.35013578,-121.93565845999998,26.996000000000002,0.01,0.006,0.0,1.964,0.033,0.05500000000000001,9554477.970999999,1746663.6760000002
2024-10-23 15:52:01,52.0,37.35021858,-121.93579204,28.880000000000003,0.172,0.173,0.0,1.9769999999999999,0.789,0.052000000000000005,9554482.576,1746654.5469999998
2024-10-23 15:52:02,52.0,37.3502277,-121.93584697000001,30.03,0.05,-0.121,0.0,1.991,0.21800000000000003,0.053000000000000005,9554486.252,1746653.5969999998
2024-10-23 15:52:03,52.0,37.35020269,-121.93585743000001,30.03,0.003,-0.063,0.0,2.004,0.021,0.044,9554488.862,1746656.425
2024-10-23 15:52:04,52.0,37.35019183,-121.93587118999999,30.03,0.0,0.002,0.0,2.0149999999999997,0.0,0.034,9554490.723000001,1746657.662
2024-10-23 15:52:05,52.0,37.35018393,-121.93588288000001,30.03,0.0,0.0,0.0,2.02,0.0,0.02,9554492.206999999,1746658.568
2024-10-23 15:52:06,52.0,37.35017739,-121.93589215,30.03,0.0,0.0,0.0,2.025,0.0,0.017,9554493.405,1746659.3170000003
2024-10-23 15:52:07,52.0,37.350172650000005,-121.93589902000001,30.03,0.0,0.0,0.0,2.03,0.0,0.013000000000000001,9554494.285,1746659.859
2024-10-23 15:52:08,52.0,37.35016731,-121.93590351,30.03,0.0,0.0,0.0,2.032,0.0,0.008,9554495.02,1746660.466
2024-10-23 15:52:09,52.0,37.35016233,-121.93590769,30.03,0.0,0.0,0.0,2.04,0.0,0.01,9554495.705,1746661.0320000001
2024-10-23 15:52:10,52.0,37.35015739,-121.93591205,30.03,0.0,0.0,0.0,2.04,0.0,0.005,9554496.400999999,1746661.5929999999
2024-10-23 15:52:11,52.0,37.350153520000006,-121.93591567000001,30.03,0.0,0.0,0.0,2.043,0.0,0.005,9554496.964,1746662.0329999998
2024-10-23 15:52:12,52.0,37.35015045,-121.93591862000001,30.03,0.0,0.0,0.0,2.05,0.0,0.011,9554497.415000001,1746662.383
2024-10-23 15:52:13,52.0,37.35014795,-121.93592131999999,30.03,0.0,0.0,0.0,2.054,0.0,0.036,9554497.808,1746662.668
2024-10-23 15:52:14,52.0,37.35014579,-121.93592384000002,30.03,0.0,0.0,0.0,2.06,0.0,0.022,9554498.16,1746662.913
2024-10-23 15:52:15,52.0,37.3501441,-121.93592589,30.03,0.0,0.0,0.0,2.07,0.0,0.015,9554498.441,1746663.1079999998
2024-10-23 15:52:16,52.0,37.35014242,-121.93592745000001,30.03,0.0,0.0,0.0,2.072,0.0,0.025,9554498.684999999,1746663.299
2024-10-23 15:52:17,52.0,37.35014078,-121.93592873,30.03,0.0,0.0,0.0,2.08,0.0,0.024,9554498.901999999,1746663.485
2024-10-23 15:52:18,52.0,37.350139510000005,-121.93592973,30.03,0.0,0.0,0.0,2.085,0.0,0.018,9554499.073,1746663.629
2024-10-23 15:52:19,52.0,37.3501392,-121.93593054,30.03,0.0,0.0,0.0,2.09,0.0,0.025,9554499.158,1746663.663
2024-10-23 15:52:20,52.0,37.35013924,-121.93593123000001,30.03,0.0,0.0,0.0,2.098,0.0,0.036,9554499.209,1746663.6619999998
2024-10-23 15:52:21,52.0,37.350139139999996,-121.93593193,30.03,0.0,0.0,0.0,2.106,0.0,0.031,9554499.271000002,1746663.6759999997
2024-10-23 15:52:22,52.0,37.350139,-121.93593251,30.03,0.0,0.0,0.0,2.113,0.0,0.031,9554499.327,1746663.69
2024-10-23 15:52:23,52.0,37.35013898,-121.93593310000001,30.03,0.0,0.0,0.0,2.12,0.0,0.025,9554499.375,1746663.6919999998
2024-10-23 15:52:24,52.0,37.35013886,-121.93593359000002,30.03,0.0,0.0,0.0,2.128,0.0,0.027000000000000003,9554499.425,1746663.704
2024-10-23 15:52:25,52.0,37.35013943,-121.93593682000001,30.03,0.0,0.0,0.0,2.132,0.0,0.027000000000000003,9554499.637,1746663.6469999999
2024-10-23 15:52:26,52.0,37.3501396,-121.93594055000001,30.03,0.0,0.0,0.0,2.14,0.0,0.033999999999999996,9554499.917,1746663.6330000001
2024-10-23 15:52:27,52.0,37.35013923,-121.93594561,30.03,0.0,0.0,0.0,2.15,0.0,0.038,9554500.344,1746663.6829999997
2024-10-23 15:52:28,52.0,37.35013896,-121.93594700999999,30.03,0.0,0.0,0.0,2.16,0.0,0.044,9554500.472,1746663.7140000002
2024-10-23 15:52:29,52.0,37.35013758,-121.93594499999999,30.053000000000004,0.006999999999999999,0.002,0.0,2.176,0.039,0.088,9554500.412,1746663.866
2024-10-23 15:52:30,52.0,37.350134710000006,-121.93594044,30.568,0.476,0.48200000000000004,0.0,2.21,2.495,0.192,9554500.259,1746664.182
2024-10-23 15:52:31,52.0,37.35013689,-121.93593913,31.163999999999998,0.469,-0.021,0.0,2.257,2.122,0.158,9554499.999,1746663.9379999998
2024-10-23 15:52:32,52.0,37.35014637,-121.9359416,32.261,1.043,0.5660000000000001,0.0,2.304,6.435,0.23900000000000002,9554499.515999999,1746662.875
2024-10-23 15:52:33,52.0,37.350157859999996,-121.93594488,33.614,1.377,0.376,0.0,2.372,6.26,0.27,9554498.954,1746661.5850000002
2024-10-23 15:52:34,52.0,37.35016763,-121.93595144000001,34.88,1.318,-0.066,0.0,2.444,5.1240000000000006,0.305,9554498.774,1746660.497
2024-10-23 15:52:35,52.0,37.35017109,-121.93595355,35.446999999999996,0.6220000000000001,-0.6980000000000001,0.0,2.496,1.6829999999999998,0.133,9554498.691,1746660.109
2024-10-23 15:52:36,52.0,37.35017079,-121.93595496999998,35.69,0.177,-0.48600000000000004,0.0,2.5300000000000002,0.753,0.1,9554498.824,1746660.1460000002
2024-10-23 15:52:37,52.0,37.350171,-121.93595425000001,35.69,0.095,-0.05600000000000001,0.0,2.541,0.40700000000000003,0.027000000000000003,9554498.754999999,1746660.1200000003
